"Dấu thời gian","Điểm số","Bạn có phải sinh viên UEH không ?","Trong 1 tháng qua, bạn có đặt trà sữa thông qua ứng dụng giao hàng không ?","Bạn có thích uống trà sữa không?","Lý do bạn chưa từng đặt trà sữa qua ứng dụng giao hàng là gì?","Bạn thường mua trà sữa bằng cách nào?  ","Điều gì có thể khiến bạn cân nhắc đặt trà sữa qua ứng dụng giao hàng? (Chọn nhiều đáp án nếu có)","  Bạn có dự định sử dụng ứng dụng giao hàng để đặt trà sữa trong tương lai không?  ","Bạn đã nghe qua thương hiệu nào dưới đây chưa?","mức tiền bạn sẵn sàn chi trả nếu bạn đặt trà sữa thông qua ứng dụng","Thời gian bạn sẵn sàng chờ đợi nếu có đặt trà sữa thông qua ứng dụng","Bạn đã từng mua hàng trực tiếp từ những thương hiệu nào ","Bạn có đã từng đặt trà sữa qua ứng dụng giao hàng nào?","Trong tuần trước bạn đã đặt trà sữa qua ứng dụng bao nhiêu lần?","Trung bình, bạn mất bao nhiêu phút để hoàn thành một đơn đặt trà sữa qua ứng dụng?","Bạn thường đặt trà sữa qua ứng dụng vào khoảng thời gian nào trong ngày?","Mức giá trung bình bạn thường chi cho một ly trà sữa qua ứng dụng là bao nhiêu?","Bạn có sẵn sàng đặt trà sữa với mức giá cao hơn nếu chất lượng tốt hơn không?( giá cả)","Bạn ưu tiên đặt trà sữa từ các thương hiệu nào nhất?","Bạn có sẵn sàng đặt trà sữa từ một quán mới chưa từng thử không?","Bạn sẵn sàng đợi bao lâu để nhận trà sữa đã đặt?","Bạn có thường xuyên hủy đơn vì thời gian giao hàng quá lâu không?","Ảnh hưởng của khuyến mãi & ưu đãi [Tôi thường chỉ đặt trà sữa khi có mã giảm giá hoặc ưu đãi từ ứng dụng.]","Ảnh hưởng của khuyến mãi & ưu đãi [Tôi ưu tiên đặt trà sữa từ cửa hàng có nhiều chương trình khuyến mãi hơn.]","Ảnh hưởng của khuyến mãi & ưu đãi [Nếu có freeship, tôi sẵn sàng đặt hàng ngay cả khi không thực sự có nhu cầu]","Ảnh hưởng của khuyến mãi & ưu đãi [Tôi thường chờ đến các dịp khuyến mãi lớn (sinh nhật app, ngày 8.8, 9.9, 10.10,...) để đặt trà sữa]","Ảnh hưởng của khuyến mãi & ưu đãi [Nếu giá trà sữa sau khi áp dụng mã giảm giá hấp dẫn, tôi có xu hướng đặt số lượng nhiều hơn.]","Ảnh hưởng của đánh giá & review [Tôi thường xem đánh giá sao trên ứng dụng trước khi quyết định đặt trà sữa.]","Ảnh hưởng của đánh giá & review [Tôi thích đặt hàng từ quán có nhiều đánh giá tích cực hơn.]","Ảnh hưởng của đánh giá & review [Nếu thấy một quán có đánh giá dưới 3 sao, tôi sẽ không đặt hàng.]","Ảnh hưởng của đánh giá & review [Tôi có xu hướng đọc các bình luận của người mua trước để xem phản hồi về chất lượng trà sữa.]","Ảnh hưởng của đánh giá & review [Tôi thường để lại đánh giá sau khi nhận trà sữa]","Bạn cảm thấy hài lòng như thế nào với trải nghiệm đặt trà sữa qua ứng dụng giao hàng?","Bạn có tiếp tục sử dụng ứng dụng để đặt trà sữa trong tương lai không?","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Hương vị của trà sữa sau khi nhận hàng.]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Độ tươi mới của trà sữa khi nhận hàng.]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Nhiệt độ của trà sữa có phù hợp (đối với trà sữa nóng/lạnh)?]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Lượng topping có đúng với yêu cầu đặt hàng không?]","Mức độ hài lòng về chất lượng sản phẩm Vui lòng đánh giá mức độ hài lòng của bạn về các khía cạnh sau (1: Rất không hài lòng – 5: Rất hài lòng): [Đóng gói của quán có đảm bảo không bị đổ hay hỏng khi vận chuyển?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Thời gian giao hàng có đúng với dự kiến không?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Thái độ của shipper khi giao hàng]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Tình trạng trà sữa sau khi giao hàng có còn nguyên vẹn không?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Ứng dụng có cập nhật trạng thái đơn hàng kịp thời không?]","Mức độ hài lòng về dịch vụ giao hàng Vui lòng đánh giá mức độ hài lòng của bạn với dịch vụ giao hàng (1: Rất không hài lòng – 5: Rất hài lòng): [Bạn có cảm thấy an toàn khi nhận hàng từ shipper?]","Bạn cảm thấy mức giá khi đặt trà sữa qua ứng dụng như thế nào? ( giá cả)","Bạn có hài lòng với số lượng mã giảm giá & khuyến mãi từ ứng dụng không?","Trên thang điểm từ 0 – 10, bạn có sẵn sàng giới thiệu ứng dụng đặt trà sữa mà bạn đang sử dụng cho bạn bè không? (0: Không bao giờ – 10: Chắc chắn giới thiệu)","Giới tính của bạn ?","Độ tuổi của bạn","Thu nhập trung bình hàng tháng"
"3/22/2025 7:50:40","0","Không","Có","Bình thường, có tiền thì uống, ko có thì nhịn","","","","","","","","","shoppee food","1 - 3 lần","dưới 5 phút","Chiều ( 14h - 18h )","25000 - 40000 đồng","Có sẵn sàng","Túc tắc","Chỉ khi có review tốt","20 - 30 phút","chưa từng","Bình thường","Bình thường","không hài lòng","Bình thường","không hài lòng","Bình thường","Hài lòng","Bình thường","Bình thường","Bình thường","bình thường","Chắc chắn có","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Hơi đắt","Bình thường","8","Nam","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 8:02:53","0","Có","Không","Có","Tôi thích mua trực tiếp tại cửa hàng hơn","Mua trực tiếp tại quán","Nếu có nhiều thương hiệu trà sữa yêu thích hơn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food, Grab food, Be Food","25000 - 40000 đồng","Dưới 20 phút","Katinat, Ngô Gia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nữ","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 8:36:53","0","Có","Có","Có","","","","","","","","","shoppee food, Be food, Ứng dụng giao hàng của cửa hàng","1 - 3 lần","dưới 5 phút","Chiều ( 14h - 18h )","25000 - 40000 đồng","Trung lập","Phúc Long","Đôi khi thử nếu giá rẻ","Dưới 20p","hiếm khi","Hài lòng","Hài lòng","Bình thường","Hài lòng","Bình thường","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Bình thường","hài lòng","Chắc chắn có","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Bình thường","Bình thường","Bình thường","Hài lòng","Hài lòng","Hơi đắt","Bình thường","7","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 8:48:12","0","Có","Không","Có","Tôi thích mua trực tiếp tại cửa hàng hơn, Tôi thấy phí giao hàng quá cao, Ứng dụng không có quán trà sữa tôi thích","Mua trực tiếp tại quán, Nhờ bạn bè/ người thân mua giúp","Nếu có chương trình giảm giá hấp dẫn, Nếu có freeship hoặc phí giao hàng rẻ hơn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food, Grab food","25000 - 40000 đồng","20 - 30 phút","Gong Cha, Phúc Long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nữ","20 - 23","Dưới 2 triệu"
"3/22/2025 8:58:06","0","Có","Có","Có","","","","","","","","","shoppee food, Grab","1 - 3 lần","5 - 10 phút","Chiều ( 14h - 18h )","41000 - 55000 đồng","Có sẵn sàng","Gong Cha","Đôi khi thử nếu giá rẻ","Dưới 20p","chưa từng","Hài lòng","Hài lòng","Bình thường","Hài lòng","không hài lòng","Hài lòng","Hài lòng","Bình thường","Hài lòng","không hài lòng","bình thường","Có thể","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Rất hài lòng","Hài lòng","Hài lòng","Hài lòng","Bình thường","Bình thường","Hơi đắt","Bình thường","5","Nữ","18 - 20","Dưới 2 triệu"
"3/22/2025 9:17:00","0","Có","Có","Có","","","","","","","","","Grab","1 - 3 lần","5 - 10 phút","Tối ( 18h - 22h)","56000 - 70000 đồng","Không sẵn sàng","Phê La","Chỉ khi có review tốt","20 - 30 phút","chưa từng","Rất hài lòng","Bình thường","Rất không hài lòng","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","bình thường","Chắc chắn có","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Hơi đắt","Bình thường","2","Nữ","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 10:05:35","0","Có","Có","Có","","","","","","","","","shoppee food","1 - 3 lần","10 - 20 phút","Tối ( 18h - 22h)","25000 - 40000 đồng","Trung lập","Phúc Long","Đôi khi thử nếu giá rẻ","Dưới 20p","chưa từng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Rất không hài lòng","Hài lòng","không hài lòng","Rất hài lòng","không hài lòng","Rất không hài lòng","Chắc chắn có","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Bình thường","Bình thường","Hài lòng","Hơi đắt","Bình thường","7","Nam","18 - 20","5 - 10 triệu"
"3/22/2025 10:20:14","0","Có","Không","Không","Tôi thấy phí giao hàng quá cao","Mua trực tiếp tại quán","Nếu có freeship hoặc phí giao hàng rẻ hơn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food","Dưới 25000 đồng","Dưới 20 phút","Phúc Long, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","2 - 5 triệu"
"3/22/2025 11:52:12","0","Có","Có","Có","","","","","","","","","shoppee food, Grab, Be food","3 - 5 lần","5 - 10 phút","Chiều ( 14h - 18h )","25000 - 40000 đồng","Trung lập","Crane Tea","Sẵn sàng thử ngay","20 - 30 phút","chưa từng","Hài lòng","Bình thường","Hài lòng","Bình thường","Bình thường","Bình thường","Hài lòng","Bình thường","Bình thường","Hài lòng","bình thường","Có thể","Bình thường","Hài lòng","Bình thường","Hài lòng","Bình thường","Hài lòng","Bình thường","Bình thường","Hài lòng","Bình thường","hợp lí","Bình thường","8","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 12:04:29","0","Có","Có","Có","","","","","","","","","shoppee food","1 - 3 lần","10 - 20 phút","Chiều ( 14h - 18h )","41000 - 55000 đồng","Không sẵn sàng","Koi Thé","Chỉ khi có review tốt","Dưới 20p","chưa từng","Rất hài lòng","Hài lòng","Bình thường","Bình thường","Hài lòng","Rất hài lòng","Rất hài lòng","Hài lòng","Bình thường","Bình thường","bình thường","Chắc chắn có","Hài lòng","Hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Hài lòng","Hài lòng","hợp lí","Bình thường","7","Nam","18 - 20","Dưới 2 triệu"
"3/22/2025 12:10:34","0","Có","Có","Có","","","","","","","","","shoppee food","1 - 3 lần","5 - 10 phút","Trưa (10h - 14h)","41000 - 55000 đồng","Hoàn toàn không","The Alley","Chỉ khi có review tốt","Dưới 20p","hiếm khi","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","Hài lòng","bình thường","Có thể","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Rất hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","Rất hài lòng","hợp lí","Bình thường","7","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 12:14:48","0","Có","Có","Có","","","","","","","","","shoppee food, Grab, Ứng dụng giao hàng của cửa hàng","1 - 3 lần","10 - 20 phút","Chiều ( 14h - 18h )","25000 - 40000 đồng","Trung lập","Toco Toco","Sẵn sàng thử ngay","20 - 30 phút","chưa từng","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","hài lòng","Có thể","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","Bình thường","hợp lí","Bình thường","8","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 12:16:26","0","Có","Không","Không","Tôi không có nhu cầu uống trà sữa, Tôi thấy phí giao hàng quá cao","Mua trực tiếp tại quán","Nếu có freeship hoặc phí giao hàng rẻ hơn","Có thể, nhưng tôi vẫn thích mua trực tiếp hơn, Không, tôi không có nhu cầu đặt trà sữa qua ứng dụng","shoppee food, Grab food","25000 - 40000 đồng","30 - 40 phút","Gong Cha, Phúc Long, Toco Toco, Koi Thé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","2 - 5 triệu"
"3/22/2025 12:18:10","0","Có","Không","Có","Tôi thích mua trực tiếp tại cửa hàng hơn, Tôi thấy phí giao hàng quá cao","Mua trực tiếp tại quán","Nếu có chương trình giảm giá hấp dẫn, Nếu có ưu đãi dành cho lần đầu đặt","Có thể, nhưng tôi vẫn thích mua trực tiếp hơn","shoppee food, Grab food","41000 - 55000 đồng","20 - 30 phút","Phúc Long, Toco Toco, Koi Thé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","20 - 23","2 - 5 triệu"
"3/22/2025 13:12:12","0","Có","Không","Có","Tôi thích mua trực tiếp tại cửa hàng hơn","Mua trực tiếp tại quán","Nếu có freeship hoặc phí giao hàng rẻ hơn","Có, tôi sẽ thử nếu ưu đãi tốt","shoppee food, Grab food, Be Food","Dưới 25000 đồng","20 - 30 phút","Mixue, Hồng Trà Ngô Gia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nam","18 - 20","Tôi chưa có thu nhập"
"3/22/2025 13:27:40","0","Có","Có","Có","","","","","","","","","shoppee food","3 - 5 lần","10 - 20 phút","Chiều ( 14h - 18h )","25000 - 40000 đồng","Trung lập","Toco Toco","Chỉ khi có review tốt","Dưới 20p","chưa từng","Rất hài lòng","Rất hài lòng","Hài lòng","Bình thường","Hài lòng","Rất hài lòng","Hài lòng","Hài lòng","Hài lòng","Rất không hài lòng","bình thường","Chắc chắn có","Bình thường","Hài lòng","Bình thường","Bình thường","Không hài lòng","Hài lòng","Hài lòng","Bình thường","Rất hài lòng","Bình thường","Hơi đắt","Không hài lòng","7","Nữ","18 - 20","2 - 5 triệu"
"3/22/2025 13:31:43","0","Có","Có","Có","","","","","","","","","Grab","3 - 5 lần","10 - 20 phút","Trưa (10h - 14h)","56000 - 70000 đồng","Trung lập","Koi Thé","Sẵn sàng thử ngay","Trên 40 phút","thỉnh thoảng","không hài lòng","không hài lòng","không hài lòng","Bình thường","không hài lòng","không hài lòng","Bình thường","không hài lòng","không hài lòng","không hài lòng","hài lòng","Không chắc chắn","Không hài lòng","Không hài lòng","Không hài lòng","Không hài lòng","Không hài lòng","Không hài lòng","Không hài lòng","Không hài lòng","Không hài lòng","Bình thường","Hơi đắt","Bình thường","5","Nữ","18 - 20","Tôi chưa có thu nhập"
